bizid,Aid_Section,중위소득,homeless_Whether,school_year _system,1인가구 여부,신혼부부,농업인,소상공인,차상위계층,기초생활 및 생계급여
R2022010701001,8,-,-,-,-,-,-,-,-,-
R2022010701002,9,-,-,-,-,-,-,-,-,-
R2022010701003,8,-,-,-,-,-,-,-,-,-
R2022010701021,-,-,-,-,-,-,-,-,-,-
R2022011001041,-,-,1,-,-,-,-,-,-,-
R2022011001061,-,-,1,-,-,-,-,-,1,-
R2022011101081,-,-,1,-,-,1,-,-,-,-
R2022011101082,-,-,-,-,-,-,-,-,-,-
R2022011101101,-,-,-,-,-,-,-,-,-,-
R2022011101102,-,000~120,-,-,-,-,-,-,-,-
R2022011201123,-,-,-,-,-,-,-,-,-,-
R2022011201124,-,-,-,-,-,-,-,-,-,-
R2022012001265,-,-,-,-,-,-,-,-,-,-
R2022012001266,-,-,-,-,-,-,-,-,-,-
R2022012001267,-,-,-,-,-,-,-,-,-,-
R2022012001268,-,-,-,-,-,-,-,-,-,-
R2022012001269,-,-,-,-,-,-,-,-,-,-
R2022012001270,-,-,-,-,-,-,-,-,-,-
R2022012001271,-,-,-,-,-,-,-,-,-,-
R2022012001272,-,-,-,-,-,-,-,-,-,-
R2022012001274,-,-,-,-,-,-,-,-,-,-
R2022012001276,-,-,-,-,-,-,-,-,-,-
R2022012001277,-,-,-,-,-,-,-,-,-,-
R2022012001287,-,-,-,-,-,-,-,-,-,-
R2022012001288,-,-,-,-,-,-,-,-,-,-
R2022012001289,-,-,-,-,-,-,-,-,-,-
R2022012001290,-,-,-,-,-,-,-,-,-,-
R2022012001291,-,-,-,-,-,-,-,-,-,-
R2022012001292,-,-,-,-,-,-,-,-,-,-
R2022012001295,-,-,-,-,-,-,-,-,-,-
R2022012001296,-,-,-,-,-,-,-,-,-,-
R2022012101303,-,-,-,-,-,-,-,-,-,-
R2022012101324,-,-,-,-,-,-,-,-,-,-
R2022012101325,-,-,-,-,-,-,-,-,-,-
R2022012101326,-,-,-,-,-,-,-,-,-,-
R2022012101327,-,-,-,-,-,-,-,-,-,-
R2022012401349,-,-,-,-,-,-,-,-,-,-
R2022012401350,-,-,-,-,-,-,-,-,-,-
R2022012401351,-,-,-,-,-,-,-,-,-,-
R2022012401352,-,-,-,-,-,-,-,-,-,-
R2022012401353,-,-,1,-,-,-,-,-,-,-
R2022012401354,-,-,1,-,-,-,-,-,-,-
R2022012401355,-,-,-,-,-,-,-,-,-,-
R2022012401356,-,-,-,-,-,-,-,-,-,-
R2022012401357,-,-,-,-,-,-,-,-,-,-
R2022012401358,-,-,-,-,-,-,-,-,-,-
R2022012401359,-,-,-,-,-,-,-,-,-,-
R2022012401360,-,-,-,-,-,-,-,-,-,-
R2022012401364,-,-,-,-,-,-,-,-,-,-
R2022012401365,-,-,-,-,-,-,-,-,-,-
R2022012401366,-,-,1,-,-,-,-,-,-,-
R2022012401367,-,-,1,-,-,-,-,-,-,-
R2022012401368,-,-,-,-,-,-,-,-,-,-
R2022012401369,-,-,-,-,-,-,-,-,-,-
R2022012401381,-,-,-,-,-,-,-,-,-,-
R2022012501401,-,-,-,-,-,-,-,-,-,-
R2022012501402,-,-,-,-,-,-,-,-,-,-
R2022012501403,-,-,-,-,-,-,-,-,-,-
R2022012501404,-,-,-,-,-,-,-,-,-,-
R2022012501405,-,-,-,-,-,-,-,-,-,-
R2022012501406,-,-,-,-,-,-,-,-,-,-
R2022012501407,-,-,-,-,-,-,-,-,-,-
R2022012501408,-,-,-,-,-,-,-,-,-,-
R2022012501409,-,-,-,-,-,-,-,-,-,-
R2022012501410,-,-,-,-,-,-,-,-,-,-
R2022012501411,-,-,-,-,-,-,-,-,-,-
R2022012501412,-,-,-,-,-,-,-,-,-,-
R2022012501413,-,-,-,-,-,-,-,-,-,-
R2022012501414,-,-,-,-,-,-,-,-,-,-
R2022012501421,-,-,-,-,-,-,-,-,-,-
R2022012501424,-,-,-,-,-,-,-,-,-,-
R2022012501425,-,-,-,-,-,-,-,-,-,-
R2022012501426,-,-,-,-,-,-,-,-,-,-
R2022012501427,-,-,-,-,-,-,-,-,-,-
R2022012501429,-,-,-,-,-,-,-,-,-,-
R2022012501430,-,-,-,-,-,-,-,-,-,-
R2022012501431,-,-,-,-,-,-,-,-,-,-
R2022012501432,-,-,-,-,-,-,-,-,-,-
R2022012501433,-,-,-,-,-,-,-,-,-,-
R2022012501434,-,-,-,-,-,-,-,-,-,-
R2022012501435,-,-,-,-,-,-,-,-,-,-
R2022012501441,-,-,-,-,-,-,-,-,-,-
R2022012501442,-,-,-,-,-,-,-,-,-,-
R2022012501443,-,-,-,-,-,-,-,-,-,-
R2022012501444,-,-,-,-,-,-,-,-,-,-
R2022012501445,-,-,-,-,-,-,-,-,-,-
R2022012501446,-,-,-,-,-,-,-,-,-,-
R2022012601461,-,-,-,-,-,-,-,-,-,-
R2022012601462,-,-,-,-,-,-,-,-,-,-
R2022012601470,-,-,-,4,-,-,-,-,1,-
R2022012601473,-,-,-,-,-,-,-,-,-,-
R2022012601474,-,-,-,4,-,-,-,-,-,-
R2022012601481,-,-,-,-,-,-,-,-,-,-
R2022012601482,-,-,-,4,-,-,-,-,-,-
R2022012601483,-,-,-,4,-,-,-,-,-,-
R2022012601492,-,-,-,-,-,-,-,-,-,-
R2022012601493,-,-,-,-,-,-,-,-,-,-
R2022012601494,-,-,-,-,-,-,-,-,-,-
R2022012601495,-,-,-,-,-,-,-,-,-,-
R2022012601496,-,-,-,-,-,-,-,-,-,-
R2022012601497,-,-,-,-,-,-,-,-,-,-
R2022012701501,-,-,-,-,-,-,-,-,-,-
R2022012701502,8,-,-,-,-,-,-,-,-,-
R2022012701503,-,-,-,-,-,-,-,-,-,-
R2022012701521,-,-,-,-,-,-,-,-,-,-
R2022012701522,-,-,-,-,-,-,-,-,-,1
R2022012801541,-,-,-,-,-,-,-,-,-,-
R2022012801542,-,-,-,-,-,-,-,-,-,-
R2022012801565,-,-,-,-,-,-,-,-,-,-
R2022020301581,-,-,-,-,-,-,-,-,-,-
R2022020301582,-,-,-,-,-,-,-,-,-,-
R2022020301583,-,-,-,-,-,-,-,-,-,-
R2022020301584,-,-,-,-,-,-,-,-,-,-
